epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,3651.82,2.07339,1.30462,1.30476,0.0094,0.39641,0.18471,0.16983,0.07483,2.93334,2.13248,1.68707,0.02562,0.00477572,0.00159191,0.00477572,0.00159191,0.00477572,0.00159191,0.00477572,0.00159191
47,3745.23,2.21039,1.39777,1.31688,0.01073,0.36523,0.19108,0.18237,0.07248,3.0007,2.13436,1.69552,0.02612,0.00472502,0.00157501,0.00472502,0.00157501,0.00472502,0.00157501,0.00472502,0.00157501
48,3833.09,2.20545,1.37306,1.31591,0.01056,0.32098,0.19745,0.17447,0.07914,2.84727,2.07664,1.69431,0.02267,0.00467357,0.00155786,0.00467357,0.00155786,0.00467357,0.00155786,0.00467357,0.00155786
49,3921.05,2.07927,1.35098,1.3244,0.00993,0.357,0.22634,0.19228,0.07771,2.92192,2.07113,1.69603,0.02539,0.00462141,0.00154047,0.00462141,0.00154047,0.00462141,0.00154047,0.00462141,0.00154047
50,4005.3,2.14712,1.33153,1.29903,0.00906,0.28965,0.20382,0.17481,0.07495,2.94509,2.09577,1.67548,0.0218,0.00456854,0.00152285,0.00456854,0.00152285,0.00456854,0.00152285,0.00456854,0.00152285
51,4091.56,2.07154,1.24594,1.275,0.0091,0.30181,0.20382,0.16514,0.07241,2.92284,2.09966,1.67884,0.02347,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
52,4178.67,2.04922,1.23671,1.28096,0.00882,0.41229,0.21001,0.19001,0.08439,2.77388,2.03261,1.65242,0.02445,0.00446081,0.00148694,0.00446081,0.00148694,0.00446081,0.00148694,0.00446081,0.00148694
53,4270.54,2.08159,1.30582,1.33924,0.00853,0.32266,0.21656,0.18249,0.08582,2.81794,2.02403,1.65659,0.02502,0.00440599,0.00146866,0.00440599,0.00146866,0.00440599,0.00146866,0.00440599,0.00146866
54,4354.61,2.02381,1.25636,1.28765,0.00813,0.34458,0.22293,0.19065,0.08285,2.85851,2.0285,1.67777,0.0238,0.00435057,0.00145019,0.00435057,0.00145019,0.00435057,0.00145019,0.00435057,0.00145019
55,4453.77,2.0197,1.21013,1.26475,0.00889,0.42433,0.20382,0.19257,0.08262,2.88595,2.06459,1.66433,0.02328,0.00429456,0.00143152,0.00429456,0.00143152,0.00429456,0.00143152,0.00429456,0.00143152
56,4543.39,2.03604,1.28277,1.31325,0.009,0.41689,0.20382,0.20055,0.08979,2.713,1.99667,1.65661,0.0209,0.00423801,0.00141267,0.00423801,0.00141267,0.00423801,0.00141267,0.00423801,0.00141267
57,4626.58,2.03988,1.25947,1.30066,0.00911,0.41649,0.21019,0.19499,0.08405,2.74537,2.04585,1.63767,0.0224,0.00418092,0.00139364,0.00418092,0.00139364,0.00418092,0.00139364,0.00418092,0.00139364
58,4715.62,2.09666,1.22973,1.18724,0.00831,0.41831,0.19108,0.18905,0.07976,2.78748,2.05182,1.62265,0.02184,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444
59,4801.11,1.97568,1.20954,1.26916,0.00903,0.45441,0.19745,0.19685,0.07679,2.77195,2.00838,1.6376,0.01991,0.00406526,0.00135509,0.00406526,0.00135509,0.00406526,0.00135509,0.00406526,0.00135509
60,4885.6,1.9835,1.20116,1.27728,0.00918,0.4885,0.20685,0.21611,0.09457,2.63058,1.97025,1.64587,0.01977,0.00400673,0.00133558,0.00400673,0.00133558,0.00400673,0.00133558,0.00400673,0.00133558
61,4978.45,2.06031,1.21507,1.23278,0.00718,0.47017,0.21656,0.21765,0.09253,2.66415,1.94597,1.59149,0.02051,0.00394778,0.00131593,0.00394778,0.00131593,0.00394778,0.00131593,0.00394778,0.00131593
62,5066.04,1.96232,1.19533,1.28351,0.0072,0.43002,0.20382,0.21171,0.08917,2.67834,2.00055,1.60595,0.01989,0.00388842,0.00129614,0.00388842,0.00129614,0.00388842,0.00129614,0.00388842,0.00129614
63,5153.42,1.95684,1.19216,1.24002,0.00694,0.46085,0.20382,0.21989,0.10016,2.63633,1.99361,1.60934,0.01936,0.00382869,0.00127623,0.00382869,0.00127623,0.00382869,0.00127623,0.00382869,0.00127623
64,5243.08,2.02981,1.15877,1.21411,0.00843,0.43052,0.21656,0.22053,0.09913,2.69277,1.98482,1.61617,0.0203,0.00376861,0.0012562,0.00376861,0.0012562,0.00376861,0.0012562,0.00376861,0.0012562
65,5331.2,2.0792,1.29477,1.25317,0.01061,0.45196,0.19745,0.21332,0.0895,2.77857,2.01878,1.64764,0.02013,0.0037082,0.00123607,0.0037082,0.00123607,0.0037082,0.00123607,0.0037082,0.00123607
66,5421.53,1.93837,1.18654,1.17956,0.00813,0.38817,0.20382,0.21471,0.09485,2.73011,2.04451,1.63249,0.0214,0.0036475,0.00121583,0.0036475,0.00121583,0.0036475,0.00121583,0.0036475,0.00121583
67,5511.55,1.92792,1.13339,1.24605,0.00693,0.48228,0.19745,0.21538,0.09914,2.60215,2.01064,1.60662,0.02283,0.00358652,0.00119551,0.00358652,0.00119551,0.00358652,0.00119551,0.00358652,0.00119551
68,5595.83,1.94343,1.17118,1.25265,0.00983,0.38509,0.21941,0.22947,0.10654,2.62161,2.04166,1.63002,0.02258,0.0035253,0.0011751,0.0035253,0.0011751,0.0035253,0.0011751,0.0035253,0.0011751
69,5689.54,1.99,1.17265,1.27472,0.00698,0.41853,0.19108,0.22997,0.10746,2.58085,2.03769,1.60144,0.0209,0.00346387,0.00115462,0.00346387,0.00115462,0.00346387,0.00115462,0.00346387,0.00115462
