epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
82,25568.1,2.67592,4.45895,1.55898,0.00574,0.67117,0.57482,0.62415,0.31343,2.89924,5.32292,1.85815,0.00232,0.0009308,0.0009308,0.0009308
83,25653.5,2.71708,4.52051,1.55693,0.00598,0.64111,0.6182,0.64455,0.32808,2.82651,5.26099,1.82601,0.00252,0.0009176,0.0009176,0.0009176
84,26038.5,2.69125,4.50326,1.57725,0.00528,0.67046,0.57518,0.62954,0.32984,2.8528,5.26341,1.8452,0.00252,0.0009044,0.0009044,0.0009044
85,26239.9,2.6464,4.44219,1.56115,0.00483,0.68403,0.57757,0.64685,0.35061,2.77108,5.27605,1.79437,0.00253,0.0008912,0.0008912,0.0008912
86,26540.2,2.67527,4.50549,1.54535,0.00505,0.64896,0.60859,0.63741,0.34289,2.72747,5.29671,1.76477,0.00289,0.000878,0.000878,0.000878
87,26885.1,2.69831,4.45096,1.53144,0.0049,0.75405,0.57041,0.65394,0.3515,2.71637,4.9916,1.80565,0.00237,0.0008648,0.0008648,0.0008648
88,27434.4,2.58985,4.27678,1.53855,0.00436,0.76591,0.57041,0.66556,0.35446,2.75662,5.16562,1.82422,0.00228,0.0008516,0.0008516,0.0008516
89,27489.3,2.69056,4.42205,1.55727,0.0052,0.78231,0.54654,0.66249,0.35557,2.71224,5.10596,1.79886,0.00224,0.0008384,0.0008384,0.0008384
90,27742,2.63671,4.27243,1.53298,0.00445,0.69895,0.61337,0.6596,0.34291,2.84813,5.13623,1.83971,0.00278,0.0008252,0.0008252,0.0008252
91,28309.4,2.60203,4.26105,1.52869,0.00499,0.74096,0.5895,0.67862,0.34159,2.77598,4.9806,1.82934,0.0022,0.000812,0.000812,0.000812
92,28476.5,2.62556,4.28067,1.52707,0.00527,0.7729,0.58711,0.67018,0.3609,2.68492,4.96909,1.81779,0.00218,0.0007988,0.0007988,0.0007988
93,29161.5,2.55271,4.20801,1.52816,0.00703,0.78001,0.56802,0.6637,0.35865,2.71759,5.01556,1.84459,0.00236,0.0007856,0.0007856,0.0007856
94,29250.2,2.65338,4.35294,1.54451,0.00532,0.71515,0.5895,0.64415,0.34753,2.76663,5.02607,1.90326,0.00221,0.0007724,0.0007724,0.0007724
95,29823.1,2.56975,4.26972,1.536,0.00479,0.77818,0.59447,0.66801,0.36566,2.72539,4.95453,1.84224,0.00243,0.0007592,0.0007592,0.0007592
96,30143.5,2.5772,4.27272,1.53962,0.00439,0.76225,0.5895,0.6703,0.35886,2.73901,4.97969,1.83998,0.00239,0.000746,0.000746,0.000746
97,30325.8,2.52396,4.22147,1.51366,0.00405,0.71306,0.59666,0.66861,0.35733,2.74958,4.97044,1.8958,0.00209,0.0007328,0.0007328,0.0007328
98,30728.8,2.61621,4.34589,1.51969,0.00457,0.66071,0.59189,0.64811,0.33753,2.82703,5.05972,1.88798,0.00226,0.0007196,0.0007196,0.0007196
99,31150.8,2.62531,4.27796,1.52261,0.00475,0.73438,0.53699,0.63972,0.33343,2.89865,5.08923,1.87598,0.0021,0.0007064,0.0007064,0.0007064
100,31390,2.55216,4.28107,1.54153,0.0047,0.72071,0.58711,0.65794,0.34813,2.8106,5.14718,1.80791,0.00224,0.0006932,0.0006932,0.0006932
101,31942.5,2.56486,4.18399,1.48045,0.00485,0.75726,0.5537,0.65139,0.35305,2.75017,5.25535,1.84503,0.00219,0.00068,0.00068,0.00068
102,32522.5,2.56233,4.23812,1.51168,0.00496,0.74857,0.58977,0.66869,0.34444,2.78293,4.95801,1.90963,0.00185,0.0006668,0.0006668,0.0006668
103,32764.6,2.54354,4.22286,1.50847,0.00477,0.7499,0.55609,0.66393,0.36127,2.76223,5.07727,1.87786,0.00221,0.0006536,0.0006536,0.0006536
104,32843.4,2.5363,4.17097,1.48144,0.00448,0.74733,0.57518,0.66685,0.34938,2.82403,5.08534,1.87541,0.00204,0.0006404,0.0006404,0.0006404
105,33744.4,2.55468,4.16064,1.48973,0.00636,0.77455,0.54936,0.65422,0.34589,2.76519,5.14995,1.86501,0.00218,0.0006272,0.0006272,0.0006272
106,34634.4,2.4624,4.04691,1.48618,0.00497,0.72831,0.5895,0.66903,0.35832,2.73144,5.06306,1.82548,0.00182,0.000614,0.000614,0.000614
107,34688.9,2.50777,4.09505,1.47397,0.00505,0.73745,0.58992,0.6746,0.36241,2.74393,5.04181,1.8631,0.00208,0.0006008,0.0006008,0.0006008
108,35522.1,2.48249,4.07497,1.47773,0.00569,0.73569,0.59905,0.66622,0.36486,2.70648,4.96838,1.81996,0.00213,0.0005876,0.0005876,0.0005876
109,36138.6,2.48046,4.01485,1.46679,0.00385,0.75949,0.59539,0.6794,0.35826,2.75002,5.08779,1.83497,0.00205,0.0005744,0.0005744,0.0005744
110,36436,2.51453,4.14671,1.48726,0.00511,0.74632,0.5895,0.66716,0.36714,2.74798,5.03059,1.82042,0.00215,0.0005612,0.0005612,0.0005612
111,37527,2.49935,4.08366,1.46692,0.00406,0.76301,0.59166,0.67572,0.35639,2.74216,5.04062,1.8223,0.00201,0.000548,0.000548,0.000548
