epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
84,19068.2,1.70831,1.26788,1.21736,0.00654,0.67407,0.54177,0.58357,0.36998,1.59615,1.26816,1.29921,0.00483,0.004522,0.004522,0.004522
85,19310.2,1.61136,1.23357,1.22042,0.00604,0.67468,0.53699,0.5938,0.36501,1.51563,1.25454,1.27983,0.0045,0.004456,0.004456,0.004456
86,19551,1.63871,1.22267,1.23142,0.00578,0.73221,0.52983,0.59221,0.37339,1.52131,1.22272,1.27725,0.00427,0.00439,0.00439,0.00439
87,19792.2,1.61313,1.19674,1.2145,0.00621,0.75826,0.5179,0.58998,0.36246,1.48222,1.21757,1.2681,0.00367,0.004324,0.004324,0.004324
88,20032.9,1.67983,1.2709,1.21923,0.00712,0.72753,0.51551,0.59878,0.37615,1.51776,1.28758,1.2771,0.00374,0.004258,0.004258,0.004258
89,20274.9,1.66227,1.28661,1.21416,0.00716,0.68927,0.57518,0.60919,0.37807,1.52002,1.21427,1.26705,0.00442,0.004192,0.004192,0.004192
90,20516.4,1.60891,1.19903,1.21386,0.00523,0.66678,0.56831,0.59201,0.37144,1.52809,1.23642,1.28475,0.00418,0.004126,0.004126,0.004126
91,20759.4,1.65476,1.23193,1.19012,0.00529,0.71155,0.53575,0.58615,0.34507,1.59707,1.27876,1.29922,0.00525,0.00406,0.00406,0.00406
92,20999.4,1.63442,1.22408,1.2223,0.00561,0.73017,0.56325,0.60964,0.38323,1.48478,1.21451,1.25648,0.00481,0.003994,0.003994,0.003994
93,21237.3,1.56653,1.15765,1.18225,0.00579,0.75229,0.52267,0.5986,0.36818,1.50468,1.24307,1.25751,0.0046,0.003928,0.003928,0.003928
94,21477.1,1.60152,1.15259,1.18627,0.00507,0.69946,0.53938,0.60411,0.3798,1.47856,1.21293,1.26229,0.00525,0.003862,0.003862,0.003862
95,21715.8,1.56378,1.17616,1.18575,0.00605,0.74793,0.54893,0.59987,0.36857,1.52648,1.22437,1.26277,0.00459,0.003796,0.003796,0.003796
96,21954.4,1.59775,1.14556,1.15742,0.00581,0.77973,0.52983,0.61131,0.38987,1.4537,1.20555,1.23875,0.0041,0.00373,0.00373,0.00373
97,22192.6,1.54255,1.13647,1.16338,0.00533,0.75221,0.54339,0.60662,0.37488,1.51706,1.21083,1.25352,0.00429,0.003664,0.003664,0.003664
98,22430.4,1.5155,1.13002,1.18848,0.00428,0.69025,0.56086,0.59483,0.38444,1.52603,1.24304,1.23179,0.00447,0.003598,0.003598,0.003598
99,22667.1,1.54554,1.1497,1.18137,0.00507,0.70069,0.57041,0.6262,0.39893,1.47603,1.15829,1.24364,0.00463,0.003532,0.003532,0.003532
100,22904.6,1.52607,1.11555,1.16069,0.00465,0.68002,0.56807,0.61099,0.39824,1.45194,1.18443,1.24093,0.0039,0.003466,0.003466,0.003466
101,23142.6,1.51673,1.15417,1.15203,0.00567,0.74852,0.54654,0.61835,0.39134,1.5126,1.16271,1.25498,0.00379,0.0034,0.0034,0.0034
102,23380.6,1.53301,1.10567,1.15471,0.00481,0.72121,0.5495,0.61276,0.39494,1.47182,1.18288,1.24948,0.00397,0.003334,0.003334,0.003334
103,23618.7,1.55798,1.13153,1.17324,0.0051,0.77689,0.53699,0.61813,0.39332,1.50394,1.20773,1.24192,0.00422,0.003268,0.003268,0.003268
104,23856.8,1.62074,1.18408,1.18007,0.00559,0.74849,0.50597,0.59284,0.36503,1.54721,1.21662,1.2321,0.00433,0.003202,0.003202,0.003202
105,24094.9,1.55353,1.13204,1.16661,0.00488,0.77806,0.52267,0.61336,0.37817,1.47684,1.18104,1.24724,0.00365,0.003136,0.003136,0.003136
106,24333.2,1.57244,1.11253,1.14468,0.00517,0.73869,0.53222,0.61029,0.38304,1.52345,1.19222,1.26067,0.00481,0.00307,0.00307,0.00307
107,24570.9,1.54326,1.11247,1.14597,0.00453,0.71664,0.54926,0.60941,0.39191,1.48195,1.17181,1.25088,0.00447,0.003004,0.003004,0.003004
108,24808.3,1.61127,1.11404,1.14413,0.00492,0.81296,0.53942,0.64117,0.40461,1.48267,1.15479,1.22025,0.00404,0.002938,0.002938,0.002938
109,25046.1,1.55579,1.10049,1.14116,0.00434,0.7635,0.55131,0.6326,0.41068,1.43716,1.17871,1.21777,0.004,0.002872,0.002872,0.002872
