epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
131,19868.1,2.31719,4.50759,1.9017,0.00558,0.68667,0.50735,0.5881,0.31521,2.46257,4.93966,2.3246,0.00498,0.000560549,0.000560549,0.000560549
132,20024,2.28444,4.42572,1.88691,0.00626,0.71371,0.50597,0.60524,0.33051,2.38411,4.82985,2.22598,0.00551,0.000546749,0.000546749,0.000546749
133,20168.8,2.22952,4.40257,1.86502,0.00518,0.6305,0.58234,0.60484,0.31365,2.46517,4.88527,2.3308,0.00533,0.000533064,0.000533064,0.000533064
134,20333.1,2.28097,4.3771,1.87834,0.00548,0.66254,0.54823,0.60367,0.30873,2.43047,4.89014,2.32621,0.00419,0.000519496,0.000519496,0.000519496
135,20493.9,2.27203,4.40279,1.89395,0.00594,0.65652,0.52004,0.58342,0.2951,2.55117,5.05777,2.35746,0.00455,0.000506049,0.000506049,0.000506049
136,20641.4,2.28659,4.46211,1.88606,0.00563,0.693,0.5179,0.59321,0.31321,2.43533,4.94644,2.25928,0.00446,0.000492726,0.000492726,0.000492726
137,20799,2.29359,4.40531,1.87047,0.00494,0.7118,0.51313,0.6098,0.33353,2.3355,4.89169,2.18719,0.00466,0.000479531,0.000479531,0.000479531
138,20956,2.24047,4.35209,1.88056,0.00505,0.71382,0.5179,0.61041,0.33312,2.35599,4.82559,2.17319,0.00489,0.000466467,0.000466467,0.000466467
139,21123.8,2.26163,4.37118,1.88033,0.00532,0.72194,0.52983,0.61729,0.32921,2.36359,4.95869,2.26707,0.00438,0.000453537,0.000453537,0.000453537
140,21282.7,2.24069,4.31829,1.89118,0.00501,0.71789,0.51313,0.59406,0.31956,2.4298,5.13666,2.31877,0.00441,0.000440745,0.000440745,0.000440745
141,21438.3,2.25963,4.47103,1.90274,0.0059,0.70263,0.52506,0.60825,0.32179,2.39058,5.00403,2.27768,0.00424,0.000428093,0.000428093,0.000428093
142,21610.4,2.21988,4.28313,1.87874,0.0051,0.70345,0.52506,0.59934,0.30149,2.45163,5.07959,2.37201,0.00393,0.000415584,0.000415584,0.000415584
143,21774.8,2.21074,4.3205,1.88745,0.00627,0.73459,0.51074,0.60806,0.3263,2.39207,5.02723,2.28326,0.00418,0.000403222,0.000403222,0.000403222
144,21938.5,2.17581,4.28187,1.88713,0.00487,0.71972,0.51074,0.59904,0.32206,2.42232,5.08927,2.36183,0.00428,0.00039101,0.00039101,0.00039101
145,22106.9,2.22371,4.34405,1.9142,0.0048,0.70126,0.53784,0.61405,0.33774,2.36953,4.94555,2.33721,0.00402,0.00037895,0.00037895,0.00037895
146,22273.6,2.1637,4.25665,1.87485,0.00499,0.71322,0.50835,0.6012,0.32242,2.4338,4.83399,2.35179,0.0036,0.000367046,0.000367046,0.000367046
147,22439.3,2.16809,4.25456,1.87719,0.00444,0.68109,0.54177,0.60198,0.3172,2.45087,4.94237,2.31526,0.00414,0.000355301,0.000355301,0.000355301
148,22602.9,2.21182,4.36242,1.8938,0.00571,0.71799,0.5179,0.60985,0.32606,2.40615,4.95918,2.34984,0.0045,0.000343718,0.000343718,0.000343718
149,22746.9,2.18267,4.19537,1.84922,0.00443,0.71084,0.52983,0.60786,0.32428,2.38672,4.90586,2.28318,0.00422,0.000332298,0.000332298,0.000332298
150,22909.3,2.2039,4.26528,1.89386,0.00531,0.69243,0.52983,0.61418,0.32462,2.38015,4.87474,2.30015,0.00415,0.000321046,0.000321046,0.000321046
151,23077.1,2.23066,4.42653,1.87756,0.00507,0.64785,0.54893,0.60832,0.3299,2.3892,5.02185,2.28861,0.00359,0.000309964,0.000309964,0.000309964
152,23234,2.22731,4.29276,1.85424,0.00529,0.67002,0.53461,0.60341,0.32774,2.38156,4.94625,2.31799,0.0035,0.000299055,0.000299055,0.000299055
153,23391.5,2.18157,4.23762,1.85921,0.00525,0.67749,0.55847,0.61695,0.33395,2.33749,4.79317,2.29863,0.00387,0.000288321,0.000288321,0.000288321
154,23546.3,2.10926,4.06913,1.84832,0.00468,0.66134,0.55461,0.61629,0.32826,2.37284,4.84895,2.32615,0.00376,0.000277765,0.000277765,0.000277765
155,23708.3,2.23175,4.36479,1.90566,0.00586,0.67221,0.53938,0.60751,0.32576,2.38476,4.80012,2.34985,0.00389,0.00026739,0.00026739,0.00026739
156,23869.7,2.18433,4.18274,1.87172,0.0052,0.69505,0.55485,0.62169,0.33638,2.33307,4.75257,2.26911,0.00424,0.000257198,0.000257198,0.000257198
157,24035.6,2.15479,4.16839,1.8663,0.00467,0.68787,0.547,0.6242,0.33863,2.33574,4.79832,2.28265,0.00339,0.000247192,0.000247192,0.000247192
158,24181.9,2.13595,4.09195,1.84737,0.00479,0.65986,0.53699,0.60796,0.31457,2.44584,4.91657,2.33599,0.00407,0.000237374,0.000237374,0.000237374
159,24343.8,2.19746,4.11997,1.8454,0.00519,0.70422,0.56255,0.63249,0.34208,2.26627,4.72372,2.28975,0.00389,0.000227747,0.000227747,0.000227747
160,24508.4,2.10512,4.08547,1.86751,0.00469,0.68548,0.55609,0.61183,0.32773,2.38658,4.8793,2.35272,0.00428,0.000218312,0.000218312,0.000218312
